BugName,Notes,TBar-time,TBar-10k,CURE-10k,SequenceR-50,Hercules-NFL,SimFix,fixminer,dlfix,acs,capgen-NFL,PAR,SOFix,PraPR,JAID,SketchFix,LSRepair,ssFix,NPEFix,Ratchet,Codit,AVATAR,CoCoNut,ARJA,GenProg,MutRepair,kPAR,RSRepair,Kali,Dynamoth,Nopol,Cardumen,VFix,iFixR,ConFix,Restore,HDRepair,,,file_no,class_no,method_no,line_no,add_line_no,del_line_no,mod_line_no,chunk_no,fail_test_no,action_no,pattern_no,First exception,add_char_no,del_char_no,node_match,insert_node,delete_node,update_node,move_tree,insert_tree,delete_tree
Clos 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,2,2,AssertionFailedError,53,1,2572,7,5,0,1,1,0
Clos 68,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,4,3,1,0,4,1,1,4,AssertionFailedError,49,1,7615,11,11,0,1,2,0
Clos 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,7,0,0,1,3,2,2,AssertionFailedError,273,0,7047,3,3,0,0,1,0
Clos 70,,3,3,3,,,,,3,,,,,3,3,,,,,,,,3,,,,3,,,,,,,,,3,3,,,1,1,1,1,0,0,1,1,5,1,2,AssertionFailedError,7,6,7502,3,3,1,0,0,0
Clos 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,2,3,3,AssertionFailedError,29,17,2422,5,2,2,1,0,0
Clos 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,2,0,1,2,1,3,2,AssertionFailedError,123,15,2293,4,2,0,1,2,0
Clos 73,,3,3,3,3,3,3,3,3,,,,,3,3,,,,,,,3,3,,,,3,,,,,,,,3,3,3,,,1,1,1,1,0,0,1,1,1,1,2,ComparisonFailure,1,2,4787,2,2,1,0,0,0
Clos 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,15,13,0,2,2,3,9,4,AssertionFailedError,289,31,6607,6,6,0,2,1,0
Clos 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,3,0,1,3,1,5,3,AssertionFailedError,111,18,9885,4,4,1,0,1,0
Clos 76,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,43,37,6,0,11,4,9,5,AssertionFailedError,917,128,1392,8,11,0,10,10,2
